window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,0,1,0,422,559,12,1,1
1,0,1,27,9,4,2,0,1,0,560,609,12,1,1
2,1,0,27,9,4,2,0,1,27,610,747,12,1,1
3,1,1,27,9,4,2,0,1,27,748,893,12,1,1
4,2,0,27,9,4,2,0,1,1,894,1040,12,1,1
5,2,1,27,9,4,2,0,1,1,1041,1100,12,1,1
6,3,0,27,9,4,2,0,1,2,1101,1238,12,1,1
7,3,1,27,9,4,2,0,1,2,1239,1302,12,1,1
8,4,0,27,9,4,2,0,1,3,1303,1457,12,1,1
9,4,1,27,9,4,2,0,1,3,1458,1525,12,1,1
10,5,0,27,9,4,2,0,1,4,1526,1663,12,1,1
11,5,1,27,9,4,2,0,1,4,1664,1733,12,1,1
12,6,0,27,9,4,2,0,1,5,1734,1873,12,1,1
13,6,1,27,9,4,2,0,1,5,1874,1947,12,1,1
14,7,0,27,9,4,2,0,1,6,1948,2092,12,1,1
15,7,1,27,9,4,2,0,1,6,2093,2167,12,1,1
16,8,0,27,9,4,2,0,1,7,2168,2321,12,1,1
17,8,1,27,9,4,2,0,1,7,2322,2400,12,1,1
18,9,0,27,9,4,2,0,1,8,2401,2545,12,1,1
19,9,1,27,9,4,2,0,1,8,2546,2626,12,1,1
20,10,0,27,9,4,2,0,1,9,2627,2770,12,1,1
21,10,1,27,9,4,2,0,1,9,2771,2855,12,1,1
22,11,0,27,9,4,2,0,1,10,2856,2998,12,1,1
23,11,1,27,9,4,2,0,1,10,2999,3086,12,1,1
24,12,0,27,9,4,2,0,1,11,3087,3224,12,1,1
25,12,1,27,9,4,2,0,1,11,3225,3315,12,1,1
26,13,0,27,9,4,2,0,1,12,3316,3455,12,1,1
27,13,1,27,9,4,2,0,1,12,3456,3550,12,1,1
28,14,0,27,9,4,2,0,1,13,3551,3688,12,1,1
29,14,1,27,9,4,2,0,1,13,3689,3784,12,1,1
30,15,0,27,9,4,2,0,1,14,3785,3924,12,1,1
31,15,1,27,9,4,2,0,1,14,3925,4024,12,1,1
32,16,0,27,9,4,2,0,1,15,4025,4169,12,1,1
33,16,1,27,9,4,2,0,1,15,4170,4282,12,1,1
34,17,0,27,9,4,2,0,1,16,4283,4430,12,1,1
35,17,1,27,9,4,2,0,1,16,4431,4554,12,1,1
36,18,0,27,9,4,2,0,1,17,4555,4694,12,1,1
37,18,1,27,9,4,2,0,1,17,4695,4803,12,1,1
38,19,0,27,9,4,2,0,1,18,4804,4941,12,1,1
39,19,1,27,9,4,2,0,1,18,4942,5054,12,1,1
40,20,0,27,9,4,2,0,1,19,5055,5192,12,1,1
41,20,1,27,9,4,2,0,1,19,5193,5325,12,1,1
42,21,0,27,9,4,2,0,1,20,5326,5483,12,1,1
43,21,1,27,9,4,2,0,1,20,5484,5602,12,1,1
44,22,0,27,9,4,2,0,1,21,5603,5751,12,1,1
45,22,1,27,9,4,2,0,1,21,5752,5872,12,1,1
46,23,0,27,9,4,2,0,1,22,5873,6012,12,1,1
47,23,1,27,9,4,2,0,1,22,6013,6152,12,1,1
48,24,0,27,9,4,2,0,1,23,6153,6290,12,1,1
49,24,1,27,9,4,2,0,1,23,6291,6430,12,1,1
50,25,0,27,9,4,2,0,1,24,6431,6577,12,1,1
51,25,1,27,9,4,2,0,1,24,6578,6720,12,1,1
52,26,0,27,9,4,2,0,1,25,6721,6858,12,1,1
53,26,1,27,9,4,2,0,1,25,6859,6994,12,1,1
54,27,0,27,9,4,2,0,1,26,6995,7144,12,1,1
55,27,1,27,9,4,2,0,1,26,7145,7291,12,1,1
56,28,0,27,9,4,2,0,1,27,7292,7446,12,1,1
57,28,1,27,9,4,2,0,1,27,7447,7594,12,1,1
58,29,0,27,9,4,2,0,1,27,7595,7744,12,1,1
59,29,1,27,9,4,2,0,1,27,7745,7898,12,1,1
60,30,0,27,9,4,2,0,1,13,7899,8047,12,1,1
61,30,1,27,9,4,2,0,1,13,8048,8145,12,1,1
62,31,0,27,9,4,2,0,1,0,8146,8285,12,1,1
63,31,1,27,9,4,2,0,1,0,8286,8350,12,1,1
