window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,2,2,1,261,73863,111309,0,0,0
1,0,1,576,128,2,2,1,261,111310,128596,0,0,0
2,1,0,576,128,2,2,1,319,128597,166043,0,0,0
3,1,1,576,128,2,2,1,319,166044,187042,0,0,0
4,2,0,576,128,2,2,1,359,187043,224489,0,0,0
5,2,1,576,128,2,2,1,359,224490,248048,0,0,0
6,3,0,576,128,2,2,1,381,248049,285495,0,0,0
7,3,1,576,128,2,2,1,381,285496,310462,0,0,0
8,4,0,576,128,2,2,1,315,310463,347909,0,0,0
9,4,1,576,128,2,2,1,315,347910,368652,0,0,0
10,5,0,576,128,2,2,1,407,368653,406099,0,0,0
11,5,1,576,128,2,2,1,407,406100,432730,0,0,0
12,6,0,576,128,2,2,1,372,432731,470177,0,0,0
13,6,1,576,128,2,2,1,372,470178,494568,0,0,0
14,7,0,576,128,2,2,1,336,494569,532015,0,0,0
15,7,1,576,128,2,2,1,336,532016,554102,0,0,0
16,8,0,576,128,2,2,1,341,554103,591549,0,0,0
17,8,1,576,128,2,2,1,341,591550,613956,0,0,0
18,9,0,576,128,2,2,1,408,613957,651403,0,0,0
19,9,1,576,128,2,2,1,408,651404,678098,0,0,0
20,10,0,576,128,2,2,1,356,678099,715545,0,0,0
21,10,1,576,128,2,2,1,356,715546,738912,0,0,0
22,11,0,576,128,2,2,1,349,738913,776359,0,0,0
23,11,1,576,128,2,2,1,349,776360,799278,0,0,0
24,12,0,576,128,2,2,1,414,799279,836725,0,0,0
25,12,1,576,128,2,2,1,414,836726,863804,0,0,0
26,13,0,576,128,2,2,1,392,863805,901251,0,0,0
27,13,1,576,128,2,2,1,392,901252,926922,0,0,0
28,14,0,576,128,2,2,1,391,926923,964369,0,0,0
29,14,1,576,128,2,2,1,391,964370,989976,0,0,0
30,15,0,576,128,2,2,1,352,989977,1027423,0,0,0
31,15,1,576,128,2,2,1,352,1027424,1050534,0,0,0
32,16,0,576,128,2,2,1,387,1050535,1087981,0,0,0
33,16,1,576,128,2,2,1,387,1087982,1113332,0,0,0
34,17,0,576,128,2,2,1,395,1113333,1150779,0,0,0
35,17,1,576,128,2,2,1,395,1150780,1176642,0,0,0
36,18,0,576,128,2,2,1,369,1176643,1214089,0,0,0
37,18,1,576,128,2,2,1,369,1214090,1238288,0,0,0
38,19,0,576,128,2,2,1,385,1238289,1275735,0,0,0
39,19,1,576,128,2,2,1,385,1275736,1300958,0,0,0
40,20,0,576,128,2,2,1,313,1300959,1338405,0,0,0
41,20,1,576,128,2,2,1,313,1338406,1359020,0,0,0
42,21,0,576,128,2,2,1,388,1359021,1396467,0,0,0
43,21,1,576,128,2,2,1,388,1396468,1421882,0,0,0
44,22,0,576,128,2,2,1,383,1421883,1459329,0,0,0
45,22,1,576,128,2,2,1,383,1459330,1484424,0,0,0
46,23,0,576,128,2,2,1,199,1484425,1521871,0,0,0
47,23,1,576,128,2,2,1,199,1521872,1535190,0,0,0
48,24,0,576,128,2,2,1,368,1535191,1572637,0,0,0
49,24,1,576,128,2,2,1,368,1572638,1596772,0,0,0
50,25,0,576,128,2,2,1,359,1596773,1634219,0,0,0
51,25,1,576,128,2,2,1,359,1634220,1657778,0,0,0
52,26,0,576,128,2,2,1,371,1657779,1695225,0,0,0
53,26,1,576,128,2,2,1,371,1695226,1719552,0,0,0
54,27,0,576,128,2,2,1,385,1719553,1756999,0,0,0
55,27,1,576,128,2,2,1,385,1757000,1782222,0,0,0
