window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,2,2,1,1,277,73863,111309,0,0,0
1,0,1,576,128,2,2,1,1,277,111310,129620,0,0,0
2,1,0,576,128,2,2,1,1,348,129621,167067,0,0,0
3,1,1,576,128,2,2,1,1,348,167068,189922,0,0,0
4,2,0,576,128,2,2,1,1,377,189923,227369,0,0,0
5,2,1,576,128,2,2,1,1,377,227370,252080,0,0,0
6,3,0,576,128,2,2,1,1,382,252081,289527,0,0,0
7,3,1,576,128,2,2,1,1,382,289528,314558,0,0,0
8,4,0,576,128,2,2,1,1,341,314559,352005,0,0,0
9,4,1,576,128,2,2,1,1,341,352006,374412,0,0,0
10,5,0,576,128,2,2,1,1,412,374413,411859,0,0,0
11,5,1,576,128,2,2,1,1,412,411860,438810,0,0,0
12,6,0,576,128,2,2,1,1,374,438811,476257,0,0,0
13,6,1,576,128,2,2,1,1,374,476258,500776,0,0,0
14,7,0,576,128,2,2,1,1,356,500777,538223,0,0,0
15,7,1,576,128,2,2,1,1,356,538224,561590,0,0,0
16,8,0,576,128,2,2,1,1,341,561591,599037,0,0,0
17,8,1,576,128,2,2,1,1,341,599038,621444,0,0,0
18,9,0,576,128,2,2,1,1,307,621445,658891,0,0,0
19,9,1,576,128,2,2,1,1,307,658892,679122,0,0,0
20,10,0,576,128,2,2,1,1,395,679123,716569,0,0,0
21,10,1,576,128,2,2,1,1,395,716570,742432,0,0,0
22,11,0,576,128,2,2,1,1,371,742433,779879,0,0,0
23,11,1,576,128,2,2,1,1,371,779880,804206,0,0,0
24,12,0,576,128,2,2,1,1,365,804207,841653,0,0,0
25,12,1,576,128,2,2,1,1,365,841654,865596,0,0,0
26,13,0,576,128,2,2,1,1,386,865597,903043,0,0,0
27,13,1,576,128,2,2,1,1,386,903044,928330,0,0,0
28,14,0,576,128,2,2,1,1,381,928331,965777,0,0,0
29,14,1,576,128,2,2,1,1,381,965778,990744,0,0,0
30,15,0,576,128,2,2,1,1,357,990745,1028191,0,0,0
31,15,1,576,128,2,2,1,1,357,1028192,1051622,0,0,0
32,16,0,576,128,2,2,1,1,381,1051623,1089069,0,0,0
33,16,1,576,128,2,2,1,1,381,1089070,1114036,0,0,0
34,17,0,576,128,2,2,1,1,403,1114037,1151483,0,0,0
35,17,1,576,128,2,2,1,1,403,1151484,1177858,0,0,0
36,18,0,576,128,2,2,1,1,357,1177859,1215305,0,0,0
37,18,1,576,128,2,2,1,1,357,1215306,1238736,0,0,0
38,19,0,576,128,2,2,1,1,342,1238737,1276183,0,0,0
39,19,1,576,128,2,2,1,1,342,1276184,1298654,0,0,0
40,20,0,576,128,2,2,1,1,378,1298655,1336101,0,0,0
41,20,1,576,128,2,2,1,1,378,1336102,1360876,0,0,0
42,21,0,576,128,2,2,1,1,379,1360877,1398323,0,0,0
43,21,1,576,128,2,2,1,1,379,1398324,1423162,0,0,0
44,22,0,576,128,2,2,1,1,385,1423163,1460609,0,0,0
45,22,1,576,128,2,2,1,1,385,1460610,1485832,0,0,0
46,23,0,576,128,2,2,1,1,229,1485833,1523279,0,0,0
47,23,1,576,128,2,2,1,1,229,1523280,1538518,0,0,0
48,24,0,576,128,2,2,1,1,364,1538519,1575965,0,0,0
49,24,1,576,128,2,2,1,1,364,1575966,1599844,0,0,0
50,25,0,576,128,2,2,1,1,334,1599845,1637291,0,0,0
51,25,1,576,128,2,2,1,1,334,1637292,1659250,0,0,0
52,26,0,576,128,2,2,1,1,343,1659251,1696697,0,0,0
53,26,1,576,128,2,2,1,1,343,1696698,1719232,0,0,0
54,27,0,576,128,2,2,1,1,381,1719233,1756679,0,0,0
55,27,1,576,128,2,2,1,1,381,1756680,1781646,0,0,0
56,28,0,576,128,2,2,1,1,313,1781647,1819093,0,0,0
57,28,1,576,128,2,2,1,1,313,1819094,1839708,0,0,0
58,29,0,576,128,2,2,1,1,374,1839709,1877155,0,0,0
59,29,1,576,128,2,2,1,1,374,1877156,1901674,0,0,0
60,30,0,576,128,2,2,1,1,371,1901675,1939121,0,0,0
61,30,1,576,128,2,2,1,1,371,1939122,1963448,0,0,0
62,31,0,576,128,2,2,1,1,386,1963449,2000895,0,0,0
63,31,1,576,128,2,2,1,1,386,2000896,2026182,0,0,0
64,32,0,576,128,2,2,1,1,393,2026183,2063629,0,0,0
65,32,1,576,128,2,2,1,1,393,2063630,2089364,0,0,0
