window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,8,2,1,277,73863,83687,12,0,0
1,0,1,576,128,8,2,1,277,83688,88727,12,0,0
2,1,0,576,128,8,2,1,348,88728,98551,12,0,0
3,1,1,576,128,8,2,1,348,98552,104727,12,0,0
4,2,0,576,128,8,2,1,377,104728,114551,12,0,0
5,2,1,576,128,8,2,1,377,114552,121191,12,0,0
6,3,0,576,128,8,2,1,382,121192,131015,12,0,0
7,3,1,576,128,8,2,1,382,131016,137735,12,0,0
8,4,0,576,128,8,2,1,341,137736,147559,12,0,0
9,4,1,576,128,8,2,1,341,147560,153623,12,0,0
10,5,0,576,128,8,2,1,412,153624,163447,12,0,0
11,5,1,576,128,8,2,1,412,163448,170647,12,0,0
12,6,0,576,128,8,2,1,374,170648,180471,12,0,0
13,6,1,576,128,8,2,1,374,180472,187063,12,0,0
14,7,0,576,128,8,2,1,356,187064,196887,12,0,0
15,7,1,576,128,8,2,1,356,196888,203191,12,0,0
16,8,0,576,128,8,2,1,341,203192,213015,12,0,0
17,8,1,576,128,8,2,1,341,213016,219079,12,0,0
18,9,0,576,128,8,2,1,307,219080,228903,12,0,0
19,9,1,576,128,8,2,1,307,228904,234423,12,0,0
20,10,0,576,128,8,2,1,395,234424,244247,12,0,0
21,10,1,576,128,8,2,1,395,244248,251175,12,0,0
22,11,0,576,128,8,2,1,371,251176,260999,12,0,0
23,11,1,576,128,8,2,1,371,261000,267543,12,0,0
24,12,0,576,128,8,2,1,365,267544,277367,12,0,0
25,12,1,576,128,8,2,1,365,277368,283815,12,0,0
26,13,0,576,128,8,2,1,386,283816,293639,12,0,0
27,13,1,576,128,8,2,1,386,293640,300423,12,0,0
28,14,0,576,128,8,2,1,381,300424,310247,12,0,0
29,14,1,576,128,8,2,1,381,310248,316951,12,0,0
30,15,0,576,128,8,2,1,357,316952,326775,12,0,0
31,15,1,576,128,8,2,1,357,326776,333095,12,0,0
32,16,0,576,128,8,2,1,381,333096,342919,12,0,0
33,16,1,576,128,8,2,1,381,342920,349623,12,0,0
34,17,0,576,128,8,2,1,403,349624,359447,12,0,0
35,17,1,576,128,8,2,1,403,359448,366503,12,0,0
36,18,0,576,128,8,2,1,357,366504,376327,12,0,0
37,18,1,576,128,8,2,1,357,376328,382647,12,0,0
38,19,0,576,128,8,2,1,342,382648,392471,12,0,0
39,19,1,576,128,8,2,1,342,392472,398551,12,0,0
40,20,0,576,128,8,2,1,378,398552,408375,12,0,0
41,20,1,576,128,8,2,1,378,408376,415031,12,0,0
42,21,0,576,128,8,2,1,379,415032,424855,12,0,0
43,21,1,576,128,8,2,1,379,424856,431527,12,0,0
44,22,0,576,128,8,2,1,385,431528,441351,12,0,0
45,22,1,576,128,8,2,1,385,441352,448119,12,0,0
46,23,0,576,128,8,2,1,229,448120,457943,12,0,0
47,23,1,576,128,8,2,1,229,457944,462215,12,0,0
48,24,0,576,128,8,2,1,364,462216,472039,12,0,0
49,24,1,576,128,8,2,1,364,472040,478471,12,0,0
50,25,0,576,128,8,2,1,334,478472,488295,12,0,0
51,25,1,576,128,8,2,1,334,488296,494247,12,0,0
52,26,0,576,128,8,2,1,343,494248,504071,12,0,0
53,26,1,576,128,8,2,1,343,504072,510167,12,0,0
54,27,0,576,128,8,2,1,381,510168,519991,12,0,0
55,27,1,576,128,8,2,1,381,519992,526695,12,0,0
56,28,0,576,128,8,2,1,313,526696,536519,12,0,0
