window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,9,1,2,1,0,94,171,12,0,0
1,0,1,1,9,1,2,1,0,172,251,12,0,0
2,1,0,1,9,1,2,1,1,252,331,12,0,0
3,1,1,1,9,1,2,1,1,332,411,12,0,0
4,2,0,1,9,1,2,1,1,412,491,12,0,0
5,2,1,1,9,1,2,1,1,492,571,12,0,0
6,3,0,1,9,1,2,1,1,572,651,12,0,0
7,3,1,1,9,1,2,1,1,652,731,12,0,0
8,4,0,1,9,1,2,1,0,732,811,12,0,0
9,4,1,1,9,1,2,1,0,812,891,12,0,0
10,5,0,1,9,1,2,1,0,892,971,12,0,0
11,5,1,1,9,1,2,1,0,972,1051,12,0,0
