window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,1,1,1,0,97,216,0,0,0
1,0,1,9,9,1,1,1,0,217,244,0,0,0
2,1,0,9,9,1,1,1,9,245,364,0,0,0
3,1,1,9,9,1,1,1,9,365,484,0,0,0
4,2,0,9,9,1,1,1,1,485,604,0,0,0
5,2,1,9,9,1,1,1,1,605,652,0,0,0
6,3,0,9,9,1,1,1,2,653,772,0,0,0
7,3,1,9,9,1,1,1,2,773,829,0,0,0
8,4,0,9,9,1,1,1,3,830,949,0,0,0
9,4,1,9,9,1,1,1,3,950,1015,0,0,0
10,5,0,9,9,1,1,1,4,1016,1135,0,0,0
11,5,1,9,9,1,1,1,4,1136,1210,0,0,0
12,6,0,9,9,1,1,1,5,1211,1330,0,0,0
13,6,1,9,9,1,1,1,5,1331,1414,0,0,0
14,7,0,9,9,1,1,1,6,1415,1534,0,0,0
15,7,1,9,9,1,1,1,6,1535,1627,0,0,0
16,8,0,9,9,1,1,1,7,1628,1747,0,0,0
17,8,1,9,9,1,1,1,7,1748,1849,0,0,0
18,9,0,9,9,1,1,1,8,1850,1969,0,0,0
19,9,1,9,9,1,1,1,8,1970,2080,0,0,0
20,10,0,9,9,1,1,1,9,2081,2200,0,0,0
21,10,1,9,9,1,1,1,9,2201,2320,0,0,0
22,11,0,9,9,1,1,1,9,2321,2440,0,0,0
23,11,1,9,9,1,1,1,9,2441,2560,0,0,0
24,12,0,9,9,1,1,1,4,2561,2680,0,0,0
25,12,1,9,9,1,1,1,4,2681,2755,0,0,0
26,13,0,9,9,1,1,1,0,2756,2875,0,0,0
27,13,1,9,9,1,1,1,0,2876,2903,0,0,0
