window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,1,1,1,1,0,97,254,12,0,0
1,0,1,9,9,1,1,1,1,0,255,334,12,0,0
2,1,0,9,9,1,1,1,1,9,335,494,12,0,0
3,1,1,9,9,1,1,1,1,9,495,654,12,0,0
4,2,0,9,9,1,1,1,1,1,655,814,12,0,0
5,2,1,9,9,1,1,1,1,1,815,958,12,0,0
6,3,0,9,9,1,1,1,1,2,959,1118,12,0,0
7,3,1,9,9,1,1,1,1,2,1119,1262,12,0,0
8,4,0,9,9,1,1,1,1,3,1263,1422,12,0,0
9,4,1,9,9,1,1,1,1,3,1423,1566,12,0,0
10,5,0,9,9,1,1,1,1,4,1567,1726,12,0,0
11,5,1,9,9,1,1,1,1,4,1727,1870,12,0,0
12,6,0,9,9,1,1,1,1,5,1871,2030,12,0,0
13,6,1,9,9,1,1,1,1,5,2031,2190,12,0,0
14,7,0,9,9,1,1,1,1,6,2191,2350,12,0,0
15,7,1,9,9,1,1,1,1,6,2351,2510,12,0,0
16,8,0,9,9,1,1,1,1,7,2511,2670,12,0,0
17,8,1,9,9,1,1,1,1,7,2671,2830,12,0,0
18,9,0,9,9,1,1,1,1,8,2831,2990,12,0,0
19,9,1,9,9,1,1,1,1,8,2991,3150,12,0,0
20,10,0,9,9,1,1,1,1,9,3151,3310,12,0,0
21,10,1,9,9,1,1,1,1,9,3311,3470,12,0,0
22,11,0,9,9,1,1,1,1,9,3471,3630,12,0,0
23,11,1,9,9,1,1,1,1,9,3631,3790,12,0,0
24,12,0,9,9,1,1,1,1,4,3791,3950,12,0,0
25,12,1,9,9,1,1,1,1,4,3951,4094,12,0,0
26,13,0,9,9,1,1,1,1,0,4095,4254,12,0,0
27,13,1,9,9,1,1,1,1,0,4255,4334,12,0,0
