window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,8,2,0,97,158,12,0,0
1,0,1,9,9,8,8,2,0,107,191,12,0,0
2,1,0,9,9,8,8,2,9,125,224,12,0,0
3,1,1,9,9,8,8,2,9,135,257,12,0,0
4,2,0,9,9,8,8,2,1,153,302,12,0,0
5,2,1,9,9,8,8,2,1,171,335,12,0,0
6,3,0,9,9,8,8,2,2,189,368,12,0,0
7,3,1,9,9,8,8,2,2,199,401,12,0,0
8,4,0,9,9,8,8,2,3,241,446,12,0,0
9,4,1,9,9,8,8,2,3,260,479,12,0,0
10,5,0,9,9,8,8,2,4,311,512,12,0,0
11,5,1,9,9,8,8,2,4,340,545,12,0,0
12,6,0,9,9,8,8,2,5,385,590,12,0,0
13,6,1,9,9,8,8,2,5,408,623,12,0,0
14,7,0,9,9,8,8,2,6,455,656,12,0,0
15,7,1,9,9,8,8,2,6,488,689,12,0,0
16,8,0,9,9,8,8,2,7,529,734,12,0,0
17,8,1,9,9,8,8,2,7,556,767,12,0,0
18,9,0,9,9,8,8,2,8,599,800,12,0,0
19,9,1,9,9,8,8,2,8,636,833,12,0,0
20,10,0,9,9,8,8,2,9,673,878,12,0,0
21,10,1,9,9,8,8,2,9,704,911,12,0,0
22,11,0,9,9,8,8,2,9,743,944,12,0,0
23,11,1,9,9,8,8,2,9,784,977,12,0,0
24,12,0,9,9,8,8,2,4,817,1022,12,0,0
25,12,1,9,9,8,8,2,4,850,1055,12,0,0
26,13,0,9,9,8,8,2,0,887,1088,12,0,0
27,13,1,9,9,8,8,2,0,918,1121,12,0,0
