window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,2,0,448,722,12,2,1
1,0,1,27,9,4,2,2,0,484,731,12,2,1
2,1,0,27,9,4,2,2,27,713,836,12,2,1
3,1,1,27,9,4,2,2,27,749,914,12,2,1
4,2,0,27,9,4,2,2,1,830,995,12,2,1
5,2,1,27,9,4,2,2,1,911,1011,12,2,1
6,3,0,27,9,4,2,2,2,992,1112,12,2,1
7,3,1,27,9,4,2,2,2,1028,1129,12,2,1
8,4,0,27,9,4,2,2,3,1109,1235,12,2,1
9,4,1,27,9,4,2,2,3,1145,1245,12,2,1
10,5,0,27,9,4,2,2,4,1226,1349,12,2,1
11,5,1,27,9,4,2,2,4,1262,1360,12,2,1
12,6,0,27,9,4,2,2,5,1343,1463,12,2,1
13,6,1,27,9,4,2,2,5,1379,1484,12,2,1
14,7,0,27,9,4,2,2,6,1460,1580,12,2,1
15,7,1,27,9,4,2,2,6,1496,1605,12,2,1
16,8,0,27,9,4,2,2,7,1577,1697,12,2,1
17,8,1,27,9,4,2,2,7,1613,1729,12,2,1
18,9,0,27,9,4,2,2,8,1694,1814,12,2,1
19,9,1,27,9,4,2,2,8,1730,1843,12,2,1
20,10,0,27,9,4,2,2,9,1811,1938,12,2,1
21,10,1,27,9,4,2,2,9,1847,1961,12,2,1
22,11,0,27,9,4,2,2,10,1928,2052,12,2,1
23,11,1,27,9,4,2,2,10,1964,2078,12,2,1
24,12,0,27,9,4,2,2,11,2045,2166,12,2,1
25,12,1,27,9,4,2,2,11,2081,2204,12,2,1
26,13,0,27,9,4,2,2,12,2162,2282,12,2,1
27,13,1,27,9,4,2,2,12,2198,2318,12,2,1
28,14,0,27,9,4,2,2,13,2279,2399,12,2,1
29,14,1,27,9,4,2,2,13,2315,2438,12,2,1
30,15,0,27,9,4,2,2,14,2396,2519,12,2,1
31,15,1,27,9,4,2,2,14,2435,2565,12,2,1
32,16,0,27,9,4,2,2,15,2516,2642,12,2,1
33,16,1,27,9,4,2,2,15,2558,2687,12,2,1
34,17,0,27,9,4,2,2,16,2639,2774,12,2,1
35,17,1,27,9,4,2,2,16,2684,2816,12,2,1
36,18,0,27,9,4,2,2,17,2765,2897,12,2,1
37,18,1,27,9,4,2,2,17,2813,2948,12,2,1
38,19,0,27,9,4,2,2,18,2894,3029,12,2,1
39,19,1,27,9,4,2,2,18,2945,3083,12,2,1
40,20,0,27,9,4,2,2,19,3026,3164,12,2,1
41,20,1,27,9,4,2,2,19,3080,3221,12,2,1
42,21,0,27,9,4,2,2,20,3161,3306,12,2,1
43,21,1,27,9,4,2,2,20,3218,3363,12,2,1
44,22,0,27,9,4,2,2,21,3299,3443,12,2,1
45,22,1,27,9,4,2,2,21,3359,3506,12,2,1
46,23,0,27,9,4,2,2,22,3440,3591,12,2,1
47,23,1,27,9,4,2,2,22,3503,3653,12,2,1
48,24,0,27,9,4,2,2,23,3584,3734,12,2,1
49,24,1,27,9,4,2,2,23,3650,3803,12,2,1
50,25,0,27,9,4,2,2,24,3731,3884,12,2,1
51,25,1,27,9,4,2,2,24,3800,3956,12,2,1
52,26,0,27,9,4,2,2,25,3881,4037,12,2,1
53,26,1,27,9,4,2,2,25,3953,4112,12,2,1
54,27,0,27,9,4,2,2,26,4034,4199,12,2,1
55,27,1,27,9,4,2,2,26,4109,4275,12,2,1
56,28,0,27,9,4,2,2,27,4190,4352,12,2,1
57,28,1,27,9,4,2,2,27,4268,4433,12,2,1
58,29,0,27,9,4,2,2,27,4349,4514,12,2,1
59,29,1,27,9,4,2,2,27,4430,4598,12,2,1
60,30,0,27,9,4,2,2,13,4511,4676,12,2,1
61,30,1,27,9,4,2,2,13,4592,4715,12,2,1
62,31,0,27,9,4,2,2,0,4673,4796,12,2,1
63,31,1,27,9,4,2,2,0,4712,4812,12,2,1
