window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,9,8,2,2,1,0,104,149,12,0,0
1,0,1,1,9,8,2,2,1,0,106,182,12,0,0
2,1,0,1,9,8,2,2,1,1,108,229,12,0,0
3,1,1,1,9,8,2,2,1,1,150,262,12,0,0
4,2,0,1,9,8,2,2,1,1,183,309,12,0,0
5,2,1,1,9,8,2,2,1,1,230,342,12,0,0
6,3,0,1,9,8,2,2,1,1,263,389,12,0,0
7,3,1,1,9,8,2,2,1,1,310,422,12,0,0
8,4,0,1,9,8,2,2,1,0,343,469,12,0,0
9,4,1,1,9,8,2,2,1,0,390,502,12,0,0
10,5,0,1,9,8,2,2,1,0,423,549,12,0,0
11,5,1,1,9,8,2,2,1,0,470,582,12,0,0
