window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,1,27,9,4,2,2,1,0,259,299,0,0,0
1,1,1,27,9,4,2,2,1,27,287,399,0,0,0
2,2,1,27,9,4,2,2,1,1,315,408,0,0,0
3,3,1,27,9,4,2,2,1,2,396,437,0,0,0
4,4,1,27,9,4,2,2,1,3,424,467,0,0,0
5,5,1,27,9,4,2,2,1,4,452,497,0,0,0
6,6,1,27,9,4,2,2,1,5,480,527,0,0,0
7,7,1,27,9,4,2,2,1,6,508,557,0,0,0
8,8,1,27,9,4,2,2,1,7,536,588,0,0,0
9,9,1,27,9,4,2,2,1,8,564,619,0,0,0
10,10,1,27,9,4,2,2,1,9,592,650,0,0,0
11,11,1,27,9,4,2,2,1,10,620,681,0,0,0
12,12,1,27,9,4,2,2,1,11,648,714,0,0,0
13,13,1,27,9,4,2,2,1,12,678,750,0,0,0
14,14,1,27,9,4,2,2,1,13,711,789,0,0,0
15,15,1,27,9,4,2,2,1,14,747,831,0,0,0
16,16,1,27,9,4,2,2,1,15,786,876,0,0,0
17,17,1,27,9,4,2,2,1,16,828,924,0,0,0
18,18,1,27,9,4,2,2,1,17,873,975,0,0,0
19,19,1,27,9,4,2,2,1,18,921,1029,0,0,0
20,20,1,27,9,4,2,2,1,19,972,1086,0,0,0
21,21,1,27,9,4,2,2,1,20,1026,1146,0,0,0
22,22,1,27,9,4,2,2,1,21,1083,1209,0,0,0
23,23,1,27,9,4,2,2,1,22,1143,1275,0,0,0
24,24,1,27,9,4,2,2,1,23,1206,1344,0,0,0
25,25,1,27,9,4,2,2,1,24,1272,1416,0,0,0
26,26,1,27,9,4,2,2,1,25,1341,1491,0,0,0
27,27,1,27,9,4,2,2,1,26,1413,1569,0,0,0
28,28,1,27,9,4,2,2,1,27,1488,1650,0,0,0
29,29,1,27,9,4,2,2,1,27,1566,1731,0,0,0
30,30,1,27,9,4,2,2,1,13,1647,1770,0,0,0
31,31,1,27,9,4,2,2,1,0,1728,1779,0,0,0
