window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,2,1,3,16,0,259,321,0,0,0
1,0,1,27,9,2,1,3,16,0,287,350,0,0,0
2,1,0,27,9,2,1,3,16,27,317,384,0,0,0
3,1,1,27,9,2,1,3,16,27,346,418,0,0,0
4,2,0,27,9,2,1,3,16,1,380,452,0,0,0
5,2,1,27,9,2,1,3,16,1,414,481,0,0,0
6,3,0,27,9,2,1,3,16,2,448,515,0,0,0
7,3,1,27,9,2,1,3,16,2,477,544,0,0,0
8,4,0,27,9,2,1,3,16,3,511,578,0,0,0
9,4,1,27,9,2,1,3,16,3,540,607,0,0,0
10,5,0,27,9,2,1,3,16,4,574,641,0,0,0
11,5,1,27,9,2,1,3,16,4,603,670,0,0,0
12,6,0,27,9,2,1,3,16,5,637,704,0,0,0
13,6,1,27,9,2,1,3,16,5,666,738,0,0,0
14,7,0,27,9,2,1,3,16,6,700,772,0,0,0
15,7,1,27,9,2,1,3,16,6,734,801,0,0,0
16,8,0,27,9,2,1,3,16,7,768,835,0,0,0
17,8,1,27,9,2,1,3,16,7,797,869,0,0,0
18,9,0,27,9,2,1,3,16,8,831,903,0,0,0
19,9,1,27,9,2,1,3,16,8,865,937,0,0,0
20,10,0,27,9,2,1,3,16,9,899,971,0,0,0
21,10,1,27,9,2,1,3,16,9,933,1005,0,0,0
22,11,0,27,9,2,1,3,16,10,967,1039,0,0,0
23,11,1,27,9,2,1,3,16,10,1001,1073,0,0,0
24,12,0,27,9,2,1,3,16,11,1035,1107,0,0,0
25,12,1,27,9,2,1,3,16,11,1069,1141,0,0,0
26,13,0,27,9,2,1,3,16,12,1103,1175,0,0,0
27,13,1,27,9,2,1,3,16,12,1137,1209,0,0,0
28,14,0,27,9,2,1,3,16,13,1171,1243,0,0,0
29,14,1,27,9,2,1,3,16,13,1205,1277,0,0,0
30,15,0,27,9,2,1,3,16,14,1239,1311,0,0,0
31,15,1,27,9,2,1,3,16,14,1273,1345,0,0,0
32,16,0,27,9,2,1,3,16,15,1307,1379,0,0,0
33,16,1,27,9,2,1,3,16,15,1341,1413,0,0,0
34,17,0,27,9,2,1,3,16,16,1375,1447,0,0,0
35,17,1,27,9,2,1,3,16,16,1409,1481,0,0,0
36,18,0,27,9,2,1,3,16,17,1443,1515,0,0,0
37,18,1,27,9,2,1,3,16,17,1477,1549,0,0,0
38,19,0,27,9,2,1,3,16,18,1511,1583,0,0,0
39,19,1,27,9,2,1,3,16,18,1545,1617,0,0,0
40,20,0,27,9,2,1,3,16,19,1579,1651,0,0,0
41,20,1,27,9,2,1,3,16,19,1613,1685,0,0,0
42,21,0,27,9,2,1,3,16,20,1647,1719,0,0,0
43,21,1,27,9,2,1,3,16,20,1681,1753,0,0,0
44,22,0,27,9,2,1,3,16,21,1715,1787,0,0,0
45,22,1,27,9,2,1,3,16,21,1749,1821,0,0,0
46,23,0,27,9,2,1,3,16,22,1783,1855,0,0,0
47,23,1,27,9,2,1,3,16,22,1817,1889,0,0,0
48,24,0,27,9,2,1,3,16,23,1851,1923,0,0,0
49,24,1,27,9,2,1,3,16,23,1885,1957,0,0,0
50,25,0,27,9,2,1,3,16,24,1919,1991,0,0,0
51,25,1,27,9,2,1,3,16,24,1953,2025,0,0,0
52,26,0,27,9,2,1,3,16,25,1987,2059,0,0,0
53,26,1,27,9,2,1,3,16,25,2021,2093,0,0,0
54,27,0,27,9,2,1,3,16,26,2055,2127,0,0,0
55,27,1,27,9,2,1,3,16,26,2089,2161,0,0,0
56,28,0,27,9,2,1,3,16,27,2123,2195,0,0,0
57,28,1,27,9,2,1,3,16,27,2157,2229,0,0,0
58,29,0,27,9,2,1,3,16,27,2191,2263,0,0,0
59,29,1,27,9,2,1,3,16,27,2225,2297,0,0,0
60,30,0,27,9,2,1,3,16,13,2259,2331,0,0,0
61,30,1,27,9,2,1,3,16,13,2293,2365,0,0,0
62,31,0,27,9,2,1,3,16,0,2327,2399,0,0,0
63,31,1,27,9,2,1,3,16,0,2361,2428,0,0,0
