window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,8,2,3,8,277,73863,75603,0,0,0
1,0,1,576,128,8,2,3,8,277,74440,76259,0,0,0
2,1,0,576,128,8,2,3,8,348,75592,77411,0,0,0
3,1,1,576,128,8,2,3,8,348,76248,78275,0,0,0
4,2,0,576,128,8,2,3,8,377,77400,79427,0,0,0
5,2,1,576,128,8,2,3,8,377,78264,80323,0,0,0
6,3,0,576,128,8,2,3,8,382,79416,81475,0,0,0
7,3,1,576,128,8,2,3,8,382,80312,82371,0,0,0
8,4,0,576,128,8,2,3,8,341,81464,83523,0,0,0
9,4,1,576,128,8,2,3,8,341,82360,84419,0,0,0
10,5,0,576,128,8,2,3,8,412,83512,85571,0,0,0
11,5,1,576,128,8,2,3,8,412,84408,86467,0,0,0
12,6,0,576,128,8,2,3,8,374,85560,87619,0,0,0
13,6,1,576,128,8,2,3,8,374,86456,88611,0,0,0
14,7,0,576,128,8,2,3,8,356,87608,89763,0,0,0
15,7,1,576,128,8,2,3,8,356,88600,90627,0,0,0
16,8,0,576,128,8,2,3,8,341,89752,91779,0,0,0
17,8,1,576,128,8,2,3,8,341,90616,92659,0,0,0
18,9,0,576,128,8,2,3,8,307,91768,93811,0,0,0
19,9,1,576,128,8,2,3,8,307,92648,94643,0,0,0
20,10,0,576,128,8,2,3,8,395,93800,95795,0,0,0
21,10,1,576,128,8,2,3,8,395,94632,96771,0,0,0
22,11,0,576,128,8,2,3,8,371,95784,97923,0,0,0
23,11,1,576,128,8,2,3,8,371,96760,98851,0,0,0
24,12,0,576,128,8,2,3,8,365,97912,100003,0,0,0
25,12,1,576,128,8,2,3,8,365,98840,100867,0,0,0
26,13,0,576,128,8,2,3,8,386,99992,102019,0,0,0
27,13,1,576,128,8,2,3,8,386,100856,102915,0,0,0
28,14,0,576,128,8,2,3,8,381,102008,104067,0,0,0
29,14,1,576,128,8,2,3,8,381,102904,105043,0,0,0
30,15,0,576,128,8,2,3,8,357,104056,106195,0,0,0
31,15,1,576,128,8,2,3,8,357,105032,107155,0,0,0
32,16,0,576,128,8,2,3,8,381,106184,108307,0,0,0
33,16,1,576,128,8,2,3,8,381,107144,109139,0,0,0
34,17,0,576,128,8,2,3,8,403,108296,110291,0,0,0
