window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,3,3,8,0,259,304,4,0,0
1,0,1,27,9,4,3,3,8,0,287,332,4,0,0
2,1,0,27,9,4,3,3,8,27,315,363,4,0,0
3,1,1,27,9,4,3,3,8,27,343,387,4,0,0
4,2,0,27,9,4,3,3,8,1,371,416,4,0,0
5,2,1,27,9,4,3,3,8,1,399,444,4,0,0
6,3,0,27,9,4,3,3,8,2,427,475,4,0,0
7,3,1,27,9,4,3,3,8,2,455,496,4,0,0
8,4,0,27,9,4,3,3,8,3,483,528,4,0,0
9,4,1,27,9,4,3,3,8,3,511,556,4,0,0
10,5,0,27,9,4,3,3,8,4,539,587,4,0,0
11,5,1,27,9,4,3,3,8,4,567,609,4,0,0
12,6,0,27,9,4,3,3,8,5,595,640,4,0,0
13,6,1,27,9,4,3,3,8,5,623,669,4,0,0
14,7,0,27,9,4,3,3,8,6,651,699,4,0,0
15,7,1,27,9,4,3,3,8,6,679,721,4,0,0
16,8,0,27,9,4,3,3,8,7,707,752,4,0,0
17,8,1,27,9,4,3,3,8,7,735,781,4,0,0
18,9,0,27,9,4,3,3,8,8,763,811,4,0,0
19,9,1,27,9,4,3,3,8,8,791,833,4,0,0
20,10,0,27,9,4,3,3,8,9,819,864,4,0,0
21,10,1,27,9,4,3,3,8,9,847,893,4,0,0
22,11,0,27,9,4,3,3,8,10,875,923,4,0,0
23,11,1,27,9,4,3,3,8,10,903,946,4,0,0
24,12,0,27,9,4,3,3,8,11,931,976,4,0,0
25,12,1,27,9,4,3,3,8,11,959,1006,4,0,0
26,13,0,27,9,4,3,3,8,12,987,1035,4,0,0
27,13,1,27,9,4,3,3,8,12,1015,1058,4,0,0
28,14,0,27,9,4,3,3,8,13,1043,1088,4,0,0
29,14,1,27,9,4,3,3,8,13,1071,1118,4,0,0
30,15,0,27,9,4,3,3,8,14,1099,1147,4,0,0
31,15,1,27,9,4,3,3,8,14,1127,1169,4,0,0
32,16,0,27,9,4,3,3,8,15,1155,1200,4,0,0
33,16,1,27,9,4,3,3,8,15,1183,1230,4,0,0
34,17,0,27,9,4,3,3,8,16,1211,1259,4,0,0
35,17,1,27,9,4,3,3,8,16,1239,1281,4,0,0
36,18,0,27,9,4,3,3,8,17,1267,1312,4,0,0
37,18,1,27,9,4,3,3,8,17,1295,1342,4,0,0
38,19,0,27,9,4,3,3,8,18,1323,1371,4,0,0
39,19,1,27,9,4,3,3,8,18,1351,1394,4,0,0
40,20,0,27,9,4,3,3,8,19,1379,1424,4,0,0
41,20,1,27,9,4,3,3,8,19,1407,1454,4,0,0
42,21,0,27,9,4,3,3,8,20,1435,1483,4,0,0
43,21,1,27,9,4,3,3,8,20,1463,1507,4,0,0
44,22,0,27,9,4,3,3,8,21,1491,1536,4,0,0
45,22,1,27,9,4,3,3,8,21,1519,1567,4,0,0
46,23,0,27,9,4,3,3,8,22,1547,1595,4,0,0
47,23,1,27,9,4,3,3,8,22,1575,1619,4,0,0
48,24,0,27,9,4,3,3,8,23,1603,1648,4,0,0
49,24,1,27,9,4,3,3,8,23,1631,1679,4,0,0
50,25,0,27,9,4,3,3,8,24,1659,1707,4,0,0
51,25,1,27,9,4,3,3,8,24,1687,1731,4,0,0
52,26,0,27,9,4,3,3,8,25,1715,1760,4,0,0
53,26,1,27,9,4,3,3,8,25,1743,1791,4,0,0
54,27,0,27,9,4,3,3,8,26,1771,1819,4,0,0
55,27,1,27,9,4,3,3,8,26,1799,1843,4,0,0
56,28,0,27,9,4,3,3,8,27,1827,1872,4,0,0
57,28,1,27,9,4,3,3,8,27,1855,1903,4,0,0
58,29,0,27,9,4,3,3,8,27,1883,1931,4,0,0
59,29,1,27,9,4,3,3,8,27,1911,1955,4,0,0
60,30,0,27,9,4,3,3,8,13,1939,1984,4,0,0
61,30,1,27,9,4,3,3,8,13,1967,2015,4,0,0
62,31,0,27,9,4,3,3,8,0,1995,2043,4,0,0
63,31,1,27,9,4,3,3,8,0,2023,2064,4,0,0
