window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,2,3,8,0,97,158,12,0,0
1,0,1,9,9,2,2,3,8,0,107,192,12,0,0
2,1,0,9,9,2,2,3,8,9,145,238,12,0,0
3,1,1,9,9,2,2,3,8,9,178,272,12,0,0
4,2,0,9,9,2,2,3,8,1,225,318,12,0,0
5,2,1,9,9,2,2,3,8,1,259,352,12,0,0
6,3,0,9,9,2,2,3,8,2,305,398,12,0,0
7,3,1,9,9,2,2,3,8,2,338,432,12,0,0
8,4,0,9,9,2,2,3,8,3,385,478,12,0,0
9,4,1,9,9,2,2,3,8,3,418,512,12,0,0
10,5,0,9,9,2,2,3,8,4,465,558,12,0,0
11,5,1,9,9,2,2,3,8,4,498,592,12,0,0
12,6,0,9,9,2,2,3,8,5,545,638,12,0,0
13,6,1,9,9,2,2,3,8,5,578,672,12,0,0
14,7,0,9,9,2,2,3,8,6,625,718,12,0,0
15,7,1,9,9,2,2,3,8,6,658,752,12,0,0
16,8,0,9,9,2,2,3,8,7,705,798,12,0,0
17,8,1,9,9,2,2,3,8,7,739,832,12,0,0
18,9,0,9,9,2,2,3,8,8,785,878,12,0,0
19,9,1,9,9,2,2,3,8,8,819,912,12,0,0
20,10,0,9,9,2,2,3,8,9,865,958,12,0,0
21,10,1,9,9,2,2,3,8,9,898,992,12,0,0
22,11,0,9,9,2,2,3,8,9,945,1038,12,0,0
23,11,1,9,9,2,2,3,8,9,979,1072,12,0,0
24,12,0,9,9,2,2,3,8,4,1025,1118,12,0,0
25,12,1,9,9,2,2,3,8,4,1059,1152,12,0,0
26,13,0,9,9,2,2,3,8,0,1105,1198,12,0,0
27,13,1,9,9,2,2,3,8,0,1138,1232,12,0,0
