name,vector,K,COUT,P,DEPTH,N,IMPL,STALL_LEN,PATTERN,INPUT_GAPS,MODE_SEQ,RESET_TEST,T,checked_values,windows,cycle_rows,cycle_model_mismatches,total_cycles,cycles_per_window,mean_dense_latency,mean_sparse_latency
v1_calibration_p2_d2_s0,calibration,576,128,2,2,512,0,0,0,0,2,0,1,131072,1024,1024,0,30852991,30129.8740234375,37824.0,22433.75
v1_evaluation_p2_d2_s0,evaluation,576,128,2,2,512,0,0,0,0,2,0,1,131072,1024,1024,0,30598207,29881.0615234375,37824.0,21936.125
v1_evaluation_p8_d2_s0,evaluation,576,128,8,2,512,0,0,0,0,2,0,1,131072,1024,1024,0,8190991,7999.0146484375,9984.0,6012.03125
v1_evaluation_p8_d2_s12,evaluation,576,128,8,2,512,0,12,0,0,2,0,1,131072,1024,1024,0,8507040,8307.65625,10303.318359375,6309.99609375
v1_gaps_pattern0,synthetic_k27_c9,27,9,4,2,32,0,12,0,1,2,1,1,576,64,64,0,8941,139.703125,160.6875,116.75
v1_gaps_pattern1,synthetic_k27_c9,27,9,4,2,32,0,12,1,1,2,1,1,576,64,64,0,7928,123.875,142.875,102.90625
v1_gaps_pattern2,synthetic_k27_c9,27,9,4,2,32,0,12,2,1,2,1,1,576,64,64,0,8283,129.421875,152.4375,104.4375
v1_minimum_p1,synthetic_k1_c9,1,9,1,2,6,0,12,0,0,2,1,1,108,12,12,0,1533,127.75,142.66666666666666,111.0
v1_minimum_p8,synthetic_k1_c9,1,9,8,2,6,0,12,0,0,2,1,1,108,12,12,0,573,47.75,46.666666666666664,47.0
v1_modeseq0_p4_d2,synthetic_k27_c9,27,9,4,2,32,0,0,0,0,0,0,1,288,32,32,0,4159,129.96875,129.0,
v1_modeseq1_p4_d2,synthetic_k27_c9,27,9,4,2,32,0,0,0,0,1,0,1,288,32,32,0,2884,90.125,,89.15625
v1_small_p1_d1_s0,synthetic_k9_c9,9,9,1,1,14,0,0,0,0,2,0,1,252,28,28,0,3222,115.07142857142857,135.0,93.21428571428571
v1_small_p1_d1_s12,synthetic_k9_c9,9,9,1,1,14,0,12,0,0,2,0,1,252,28,28,0,4237,151.32142857142858,158.85714285714286,141.85714285714286
v1_small_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,0,0,0,0,2,0,1,252,28,28,0,3222,115.07142857142857,135.0,93.21428571428571
v1_small_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,0,12,0,0,2,0,1,252,28,28,0,4237,151.32142857142858,158.85714285714286,141.85714285714286
v1_small_p1_d3_s0,synthetic_k9_c9,9,9,1,3,14,0,0,0,0,2,0,1,252,28,28,0,3222,115.07142857142857,135.0,93.21428571428571
