window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,2,2,0,1,261,73863,111687,0,0,0
1,0,1,576,128,2,2,0,1,261,111688,129352,0,0,0
2,1,0,576,128,2,2,0,1,319,129353,167177,0,0,0
3,1,1,576,128,2,2,0,1,319,167178,188554,0,0,0
4,2,0,576,128,2,2,0,1,359,188555,226379,0,0,0
5,2,1,576,128,2,2,0,1,359,226380,250316,0,0,0
6,3,0,576,128,2,2,0,1,381,250317,288141,0,0,0
7,3,1,576,128,2,2,0,1,381,288142,313486,0,0,0
8,4,0,576,128,2,2,0,1,315,313487,351311,0,0,0
9,4,1,576,128,2,2,0,1,315,351312,372432,0,0,0
10,5,0,576,128,2,2,0,1,407,372433,410257,0,0,0
11,5,1,576,128,2,2,0,1,407,410258,437266,0,0,0
12,6,0,576,128,2,2,0,1,372,437267,475091,0,0,0
13,6,1,576,128,2,2,0,1,372,475092,499860,0,0,0
14,7,0,576,128,2,2,0,1,336,499861,537685,0,0,0
15,7,1,576,128,2,2,0,1,336,537686,560150,0,0,0
16,8,0,576,128,2,2,0,1,341,560151,597975,0,0,0
17,8,1,576,128,2,2,0,1,341,597976,620760,0,0,0
18,9,0,576,128,2,2,0,1,408,620761,658585,0,0,0
19,9,1,576,128,2,2,0,1,408,658586,685658,0,0,0
20,10,0,576,128,2,2,0,1,356,685659,723483,0,0,0
21,10,1,576,128,2,2,0,1,356,723484,747228,0,0,0
22,11,0,576,128,2,2,0,1,349,747229,785053,0,0,0
23,11,1,576,128,2,2,0,1,349,785054,808350,0,0,0
24,12,0,576,128,2,2,0,1,414,808351,846175,0,0,0
25,12,1,576,128,2,2,0,1,414,846176,873632,0,0,0
26,13,0,576,128,2,2,0,1,392,873633,911457,0,0,0
27,13,1,576,128,2,2,0,1,392,911458,937506,0,0,0
28,14,0,576,128,2,2,0,1,391,937507,975331,0,0,0
29,14,1,576,128,2,2,0,1,391,975332,1001316,0,0,0
