window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,0,1,0,422,734,12,2,1
1,0,1,27,9,4,2,0,1,0,735,782,12,2,1
2,1,0,27,9,4,2,0,1,27,783,924,12,2,1
3,1,1,27,9,4,2,0,1,27,925,1076,12,2,1
4,2,0,27,9,4,2,0,1,1,1077,1228,12,2,1
5,2,1,27,9,4,2,0,1,1,1229,1294,12,2,1
6,3,0,27,9,4,2,0,1,2,1295,1437,12,2,1
7,3,1,27,9,4,2,0,1,2,1438,1504,12,2,1
8,4,0,27,9,4,2,0,1,3,1505,1646,12,2,1
9,4,1,27,9,4,2,0,1,3,1647,1714,12,2,1
10,5,0,27,9,4,2,0,1,4,1715,1855,12,2,1
11,5,1,27,9,4,2,0,1,4,1856,1931,12,2,1
12,6,0,27,9,4,2,0,1,5,1932,2083,12,2,1
13,6,1,27,9,4,2,0,1,5,2084,2159,12,2,1
14,7,0,27,9,4,2,0,1,6,2160,2311,12,2,1
15,7,1,27,9,4,2,0,1,6,2312,2406,12,2,1
16,8,0,27,9,4,2,0,1,7,2407,2558,12,2,1
17,8,1,27,9,4,2,0,1,7,2559,2653,12,2,1
18,9,0,27,9,4,2,0,1,8,2654,2805,12,2,1
19,9,1,27,9,4,2,0,1,8,2806,2900,12,2,1
20,10,0,27,9,4,2,0,1,9,2901,3052,12,2,1
21,10,1,27,9,4,2,0,1,9,3053,3147,12,2,1
22,11,0,27,9,4,2,0,1,10,3148,3299,12,2,1
23,11,1,27,9,4,2,0,1,10,3300,3394,12,2,1
24,12,0,27,9,4,2,0,1,11,3395,3546,12,2,1
25,12,1,27,9,4,2,0,1,11,3547,3641,12,2,1
26,13,0,27,9,4,2,0,1,12,3642,3793,12,2,1
27,13,1,27,9,4,2,0,1,12,3794,3890,12,2,1
28,14,0,27,9,4,2,0,1,13,3891,4040,12,2,1
29,14,1,27,9,4,2,0,1,13,4041,4139,12,2,1
30,15,0,27,9,4,2,0,1,14,4140,4287,12,2,1
31,15,1,27,9,4,2,0,1,14,4288,4388,12,2,1
32,16,0,27,9,4,2,0,1,15,4389,4534,12,2,1
33,16,1,27,9,4,2,0,1,15,4535,4637,12,2,1
34,17,0,27,9,4,2,0,1,16,4638,4781,12,2,1
35,17,1,27,9,4,2,0,1,16,4782,4886,12,2,1
36,18,0,27,9,4,2,0,1,17,4887,5028,12,2,1
37,18,1,27,9,4,2,0,1,17,5029,5142,12,2,1
38,19,0,27,9,4,2,0,1,18,5143,5294,12,2,1
39,19,1,27,9,4,2,0,1,18,5295,5412,12,2,1
40,20,0,27,9,4,2,0,1,19,5413,5560,12,2,1
41,20,1,27,9,4,2,0,1,19,5561,5681,12,2,1
42,21,0,27,9,4,2,0,1,20,5682,5826,12,2,1
43,21,1,27,9,4,2,0,1,20,5827,5949,12,2,1
44,22,0,27,9,4,2,0,1,21,5950,6092,12,2,1
45,22,1,27,9,4,2,0,1,21,6093,6216,12,2,1
46,23,0,27,9,4,2,0,1,22,6217,6358,12,2,1
47,23,1,27,9,4,2,0,1,22,6359,6483,12,2,1
48,24,0,27,9,4,2,0,1,23,6484,6624,12,2,1
49,24,1,27,9,4,2,0,1,23,6625,6757,12,2,1
50,25,0,27,9,4,2,0,1,24,6758,6909,12,2,1
51,25,1,27,9,4,2,0,1,24,6910,7042,12,2,1
52,26,0,27,9,4,2,0,1,25,7043,7194,12,2,1
53,26,1,27,9,4,2,0,1,25,7195,7346,12,2,1
54,27,0,27,9,4,2,0,1,26,7347,7498,12,2,1
55,27,1,27,9,4,2,0,1,26,7499,7650,12,2,1
56,28,0,27,9,4,2,0,1,27,7651,7802,12,2,1
57,28,1,27,9,4,2,0,1,27,7803,7954,12,2,1
58,29,0,27,9,4,2,0,1,27,7955,8106,12,2,1
59,29,1,27,9,4,2,0,1,27,8107,8258,12,2,1
60,30,0,27,9,4,2,0,1,13,8259,8410,12,2,1
61,30,1,27,9,4,2,0,1,13,8411,8509,12,2,1
62,31,0,27,9,4,2,0,1,0,8510,8657,12,2,1
63,31,1,27,9,4,2,0,1,0,8658,8705,12,2,1
