window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,2,1,1,0,97,156,0,0,0
1,0,1,9,9,2,2,1,1,0,157,180,0,0,0
2,1,0,9,9,2,2,1,1,9,181,240,0,0,0
3,1,1,9,9,2,2,1,1,9,241,300,0,0,0
4,2,0,9,9,2,2,1,1,1,301,360,0,0,0
5,2,1,9,9,2,2,1,1,1,361,386,0,0,0
6,3,0,9,9,2,2,1,1,2,387,446,0,0,0
7,3,1,9,9,2,2,1,1,2,447,475,0,0,0
8,4,0,9,9,2,2,1,1,3,476,535,0,0,0
9,4,1,9,9,2,2,1,1,3,536,567,0,0,0
10,5,0,9,9,2,2,1,1,4,568,627,0,0,0
11,5,1,9,9,2,2,1,1,4,628,662,0,0,0
12,6,0,9,9,2,2,1,1,5,663,722,0,0,0
13,6,1,9,9,2,2,1,1,5,723,762,0,0,0
14,7,0,9,9,2,2,1,1,6,763,822,0,0,0
15,7,1,9,9,2,2,1,1,6,823,867,0,0,0
16,8,0,9,9,2,2,1,1,7,868,927,0,0,0
17,8,1,9,9,2,2,1,1,7,928,977,0,0,0
18,9,0,9,9,2,2,1,1,8,978,1037,0,0,0
19,9,1,9,9,2,2,1,1,8,1038,1092,0,0,0
20,10,0,9,9,2,2,1,1,9,1093,1152,0,0,0
21,10,1,9,9,2,2,1,1,9,1153,1212,0,0,0
22,11,0,9,9,2,2,1,1,9,1213,1272,0,0,0
23,11,1,9,9,2,2,1,1,9,1273,1332,0,0,0
24,12,0,9,9,2,2,1,1,4,1333,1392,0,0,0
25,12,1,9,9,2,2,1,1,4,1393,1427,0,0,0
26,13,0,9,9,2,2,1,1,0,1428,1487,0,0,0
27,13,1,9,9,2,2,1,1,0,1488,1511,0,0,0
