window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,1,1,1,2,1,0,9,15,0,0,0
1,0,1,1,1,1,1,2,1,0,11,19,0,0,0
2,1,0,1,1,1,1,2,1,1,13,23,0,0,0
3,1,1,1,1,1,1,2,1,1,16,27,0,0,0
4,2,0,1,1,1,1,2,1,1,20,31,0,0,0
5,2,1,1,1,1,1,2,1,1,24,35,0,0,0
6,3,0,1,1,1,1,2,1,1,28,39,0,0,0
7,3,1,1,1,1,1,2,1,1,32,43,0,0,0
8,4,0,1,1,1,1,2,1,0,36,47,0,0,0
9,4,1,1,1,1,1,2,1,0,40,51,0,0,0
10,5,0,1,1,1,1,2,1,0,44,55,0,0,0
11,5,1,1,1,1,1,2,1,0,48,59,0,0,0
