window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,2,2,2,1,277,73863,111308,0,0,0
1,0,1,576,128,2,2,2,1,277,74440,129036,0,0,0
2,1,0,576,128,2,2,2,1,348,111304,165900,0,0,0
3,1,1,576,128,2,2,2,1,348,129032,188172,0,0,0
4,2,0,576,128,2,2,2,1,377,165896,225036,0,0,0
5,2,1,576,128,2,2,2,1,377,188168,249164,0,0,0
6,3,0,576,128,2,2,2,1,382,225032,286028,0,0,0
7,3,1,576,128,2,2,2,1,382,249160,310476,0,0,0
8,4,0,576,128,2,2,2,1,341,286024,347340,0,0,0
9,4,1,576,128,2,2,2,1,341,310472,369164,0,0,0
10,5,0,576,128,2,2,2,1,412,347336,406028,0,0,0
11,5,1,576,128,2,2,2,1,412,369160,432396,0,0,0
12,6,0,576,128,2,2,2,1,374,406024,469260,0,0,0
13,6,1,576,128,2,2,2,1,374,432392,493196,0,0,0
14,7,0,576,128,2,2,2,1,356,469256,530060,0,0,0
15,7,1,576,128,2,2,2,1,356,493192,552844,0,0,0
16,8,0,576,128,2,2,2,1,341,530056,589708,0,0,0
17,8,1,576,128,2,2,2,1,341,552840,611532,0,0,0
18,9,0,576,128,2,2,2,1,307,589704,648396,0,0,0
19,9,1,576,128,2,2,2,1,307,611528,668044,0,0,0
20,10,0,576,128,2,2,2,1,395,648392,704908,0,0,0
21,10,1,576,128,2,2,2,1,395,668040,730188,0,0,0
22,11,0,576,128,2,2,2,1,371,704904,767052,0,0,0
23,11,1,576,128,2,2,2,1,371,730184,790796,0,0,0
24,12,0,576,128,2,2,2,1,365,767048,827660,0,0,0
25,12,1,576,128,2,2,2,1,365,790792,851020,0,0,0
26,13,0,576,128,2,2,2,1,386,827656,887884,0,0,0
27,13,1,576,128,2,2,2,1,386,851016,912588,0,0,0
28,14,0,576,128,2,2,2,1,381,887880,949452,0,0,0
29,14,1,576,128,2,2,2,1,381,912584,973836,0,0,0
30,15,0,576,128,2,2,2,1,357,949448,1010700,0,0,0
31,15,1,576,128,2,2,2,1,357,973832,1033548,0,0,0
32,16,0,576,128,2,2,2,1,381,1010696,1070412,0,0,0
33,16,1,576,128,2,2,2,1,381,1033544,1094796,0,0,0
34,17,0,576,128,2,2,2,1,403,1070408,1131660,0,0,0
35,17,1,576,128,2,2,2,1,403,1094792,1157452,0,0,0
36,18,0,576,128,2,2,2,1,357,1131656,1194316,0,0,0
37,18,1,576,128,2,2,2,1,357,1157448,1217164,0,0,0
38,19,0,576,128,2,2,2,1,342,1194312,1254028,0,0,0
39,19,1,576,128,2,2,2,1,342,1217160,1275916,0,0,0
40,20,0,576,128,2,2,2,1,378,1254024,1312780,0,0,0
41,20,1,576,128,2,2,2,1,378,1275912,1336972,0,0,0
42,21,0,576,128,2,2,2,1,379,1312776,1373836,0,0,0
43,21,1,576,128,2,2,2,1,379,1336968,1398092,0,0,0
44,22,0,576,128,2,2,2,1,385,1373832,1434956,0,0,0
45,22,1,576,128,2,2,2,1,385,1398088,1459596,0,0,0
46,23,0,576,128,2,2,2,1,229,1434952,1496460,0,0,0
47,23,1,576,128,2,2,2,1,229,1459592,1511116,0,0,0
48,24,0,576,128,2,2,2,1,364,1496456,1547980,0,0,0
49,24,1,576,128,2,2,2,1,364,1511112,1571276,0,0,0
50,25,0,576,128,2,2,2,1,334,1547976,1608140,0,0,0
51,25,1,576,128,2,2,2,1,334,1571272,1629516,0,0,0
52,26,0,576,128,2,2,2,1,343,1608136,1666380,0,0,0
53,26,1,576,128,2,2,2,1,343,1629512,1688332,0,0,0
54,27,0,576,128,2,2,2,1,381,1666376,1725196,0,0,0
55,27,1,576,128,2,2,2,1,381,1688328,1749580,0,0,0
56,28,0,576,128,2,2,2,1,313,1725192,1786444,0,0,0
57,28,1,576,128,2,2,2,1,313,1749576,1806476,0,0,0
58,29,0,576,128,2,2,2,1,374,1786440,1843340,0,0,0
59,29,1,576,128,2,2,2,1,374,1806472,1867276,0,0,0
60,30,0,576,128,2,2,2,1,371,1843336,1904140,0,0,0
61,30,1,576,128,2,2,2,1,371,1867272,1927884,0,0,0
62,31,0,576,128,2,2,2,1,386,1904136,1964748,0,0,0
63,31,1,576,128,2,2,2,1,386,1927880,1989452,0,0,0
64,32,0,576,128,2,2,2,1,393,1964744,2026316,0,0,0
65,32,1,576,128,2,2,2,1,393,1989448,2051468,0,0,0
66,33,0,576,128,2,2,2,1,410,2026312,2088332,0,0,0
67,33,1,576,128,2,2,2,1,410,2051464,2114572,0,0,0
68,34,0,576,128,2,2,2,1,369,2088328,2151436,0,0,0
69,34,1,576,128,2,2,2,1,369,2114568,2175052,0,0,0
70,35,0,576,128,2,2,2,1,361,2151432,2211916,0,0,0
71,35,1,576,128,2,2,2,1,361,2175048,2235020,0,0,0
