window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,9,1,2,2,1,0,104,181,12,0,0
1,0,1,1,9,1,2,2,1,0,106,246,12,0,0
2,1,0,1,9,1,2,2,1,1,166,325,12,0,0
3,1,1,1,9,1,2,2,1,1,231,390,12,0,0
4,2,0,1,9,1,2,2,1,1,310,469,12,0,0
5,2,1,1,9,1,2,2,1,1,375,534,12,0,0
6,3,0,1,9,1,2,2,1,1,454,613,12,0,0
7,3,1,1,9,1,2,2,1,1,519,678,12,0,0
8,4,0,1,9,1,2,2,1,0,598,757,12,0,0
9,4,1,1,9,1,2,2,1,0,663,822,12,0,0
10,5,0,1,9,1,2,2,1,0,742,901,12,0,0
11,5,1,1,9,1,2,2,1,0,807,966,12,0,0
