window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,8,2,3,4,261,73863,76755,0,0,0
1,0,1,576,128,8,2,3,4,261,74440,77907,0,0,0
2,1,0,576,128,8,2,3,4,319,76744,80211,0,0,0
3,1,1,576,128,8,2,3,4,319,77896,81827,0,0,0
4,2,0,576,128,8,2,3,4,359,80200,84131,0,0,0
5,2,1,576,128,8,2,3,4,359,81816,85795,0,0,0
6,3,0,576,128,8,2,3,4,381,84120,88099,0,0,0
7,3,1,576,128,8,2,3,4,381,85784,89699,0,0,0
8,4,0,576,128,8,2,3,4,315,88088,92003,0,0,0
9,4,1,576,128,8,2,3,4,315,89688,93443,0,0,0
10,5,0,576,128,8,2,3,4,407,91992,95747,0,0,0
11,5,1,576,128,8,2,3,4,407,93432,97619,0,0,0
12,6,0,576,128,8,2,3,4,372,95736,99923,0,0,0
13,6,1,576,128,8,2,3,4,372,97608,101731,0,0,0
14,7,0,576,128,8,2,3,4,336,99912,104035,0,0,0
15,7,1,576,128,8,2,3,4,336,101720,105699,0,0,0
16,8,0,576,128,8,2,3,4,341,104024,108003,0,0,0
17,8,1,576,128,8,2,3,4,341,105688,109539,0,0,0
18,9,0,576,128,8,2,3,4,408,107992,111843,0,0,0
19,9,1,576,128,8,2,3,4,408,109528,113651,0,0,0
20,10,0,576,128,8,2,3,4,356,111832,115955,0,0,0
21,10,1,576,128,8,2,3,4,356,113640,117715,0,0,0
22,11,0,576,128,8,2,3,4,349,115944,120019,0,0,0
23,11,1,576,128,8,2,3,4,349,117704,121507,0,0,0
24,12,0,576,128,8,2,3,4,414,120008,123811,0,0,0
25,12,1,576,128,8,2,3,4,414,121496,125699,0,0,0
26,13,0,576,128,8,2,3,4,392,123800,128003,0,0,0
27,13,1,576,128,8,2,3,4,392,125688,129715,0,0,0
28,14,0,576,128,8,2,3,4,391,127992,132019,0,0,0
29,14,1,576,128,8,2,3,4,391,129704,133843,0,0,0
30,15,0,576,128,8,2,3,4,352,132008,136147,0,0,0
31,15,1,576,128,8,2,3,4,352,133832,137715,0,0,0
32,16,0,576,128,8,2,3,4,387,136136,140019,0,0,0
