window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,8,3,9,0,97,144,12,0,0
1,0,1,9,9,8,8,3,9,0,107,177,12,0,0
2,1,0,9,9,8,8,3,9,9,117,222,12,0,0
3,1,1,9,9,8,8,3,9,9,127,255,12,0,0
4,2,0,9,9,8,8,3,9,1,137,288,12,0,0
5,2,1,9,9,8,8,3,9,1,147,321,12,0,0
6,3,0,9,9,8,8,3,9,2,157,366,12,0,0
7,3,1,9,9,8,8,3,9,2,178,399,12,0,0
8,4,0,9,9,8,8,3,9,3,223,432,12,0,0
9,4,1,9,9,8,8,3,9,3,256,465,12,0,0
10,5,0,9,9,8,8,3,9,4,289,510,12,0,0
11,5,1,9,9,8,8,3,9,4,322,543,12,0,0
12,6,0,9,9,8,8,3,9,5,367,576,12,0,0
13,6,1,9,9,8,8,3,9,5,400,609,12,0,0
14,7,0,9,9,8,8,3,9,6,433,654,12,0,0
15,7,1,9,9,8,8,3,9,6,466,687,12,0,0
16,8,0,9,9,8,8,3,9,7,511,720,12,0,0
17,8,1,9,9,8,8,3,9,7,544,753,12,0,0
18,9,0,9,9,8,8,3,9,8,577,798,12,0,0
19,9,1,9,9,8,8,3,9,8,610,831,12,0,0
20,10,0,9,9,8,8,3,9,9,655,864,12,0,0
21,10,1,9,9,8,8,3,9,9,688,897,12,0,0
22,11,0,9,9,8,8,3,9,9,721,942,12,0,0
23,11,1,9,9,8,8,3,9,9,754,975,12,0,0
24,12,0,9,9,8,8,3,9,4,799,1008,12,0,0
25,12,1,9,9,8,8,3,9,4,832,1041,12,0,0
26,13,0,9,9,8,8,3,9,0,865,1086,12,0,0
27,13,1,9,9,8,8,3,9,0,898,1119,12,0,0
