window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,8,2,3,4,277,73863,76755,0,0,0
1,0,1,576,128,8,2,3,4,277,74440,77939,0,0,0
2,1,0,576,128,8,2,3,4,348,76744,80243,0,0,0
3,1,1,576,128,8,2,3,4,348,77928,81843,0,0,0
4,2,0,576,128,8,2,3,4,377,80232,84147,0,0,0
5,2,1,576,128,8,2,3,4,377,81832,85907,0,0,0
6,3,0,576,128,8,2,3,4,382,84136,88211,0,0,0
7,3,1,576,128,8,2,3,4,382,85896,89843,0,0,0
8,4,0,576,128,8,2,3,4,341,88200,92147,0,0,0
9,4,1,576,128,8,2,3,4,341,89832,93779,0,0,0
10,5,0,576,128,8,2,3,4,412,92136,96083,0,0,0
11,5,1,576,128,8,2,3,4,412,93768,97843,0,0,0
12,6,0,576,128,8,2,3,4,374,96072,100147,0,0,0
13,6,1,576,128,8,2,3,4,374,97832,101747,0,0,0
14,7,0,576,128,8,2,3,4,356,100136,104051,0,0,0
15,7,1,576,128,8,2,3,4,356,101736,105603,0,0,0
16,8,0,576,128,8,2,3,4,341,104040,107907,0,0,0
17,8,1,576,128,8,2,3,4,341,105592,109443,0,0,0
18,9,0,576,128,8,2,3,4,307,107896,111747,0,0,0
19,9,1,576,128,8,2,3,4,307,109432,113171,0,0,0
20,10,0,576,128,8,2,3,4,395,111736,115475,0,0,0
21,10,1,576,128,8,2,3,4,395,113160,117171,0,0,0
22,11,0,576,128,8,2,3,4,371,115464,119475,0,0,0
23,11,1,576,128,8,2,3,4,371,117160,121235,0,0,0
24,12,0,576,128,8,2,3,4,365,119464,123539,0,0,0
25,12,1,576,128,8,2,3,4,365,121224,125155,0,0,0
26,13,0,576,128,8,2,3,4,386,123528,127459,0,0,0
27,13,1,576,128,8,2,3,4,386,125144,129123,0,0,0
28,14,0,576,128,8,2,3,4,381,127448,131427,0,0,0
29,14,1,576,128,8,2,3,4,381,129112,133187,0,0,0
30,15,0,576,128,8,2,3,4,357,131416,135491,0,0,0
31,15,1,576,128,8,2,3,4,357,133176,137187,0,0,0
32,16,0,576,128,8,2,3,4,381,135480,139491,0,0,0
33,16,1,576,128,8,2,3,4,381,137176,141123,0,0,0
34,17,0,576,128,8,2,3,4,403,139480,143427,0,0,0
35,17,1,576,128,8,2,3,4,403,141112,145203,0,0,0
36,18,0,576,128,8,2,3,4,357,143416,147507,0,0,0
37,18,1,576,128,8,2,3,4,357,145192,149187,0,0,0
38,19,0,576,128,8,2,3,4,342,147496,151491,0,0,0
39,19,1,576,128,8,2,3,4,342,149176,153043,0,0,0
40,20,0,576,128,8,2,3,4,378,151480,155347,0,0,0
41,20,1,576,128,8,2,3,4,378,153032,156995,0,0,0
42,21,0,576,128,8,2,3,4,379,155336,159299,0,0,0
43,21,1,576,128,8,2,3,4,379,156984,161027,0,0,0
44,22,0,576,128,8,2,3,4,385,159288,163331,0,0,0
45,22,1,576,128,8,2,3,4,385,161016,165059,0,0,0
46,23,0,576,128,8,2,3,4,229,163320,167363,0,0,0
47,23,1,576,128,8,2,3,4,229,165048,168355,0,0,0
48,24,0,576,128,8,2,3,4,364,167352,170659,0,0,0
49,24,1,576,128,8,2,3,4,364,168344,172259,0,0,0
50,25,0,576,128,8,2,3,4,334,170648,174563,0,0,0
51,25,1,576,128,8,2,3,4,334,172248,176099,0,0,0
52,26,0,576,128,8,2,3,4,343,174552,178403,0,0,0
53,26,1,576,128,8,2,3,4,343,176088,179907,0,0,0
54,27,0,576,128,8,2,3,4,381,178392,182211,0,0,0
55,27,1,576,128,8,2,3,4,381,179896,183827,0,0,0
56,28,0,576,128,8,2,3,4,313,182200,186131,0,0,0
57,28,1,576,128,8,2,3,4,313,183816,187667,0,0,0
58,29,0,576,128,8,2,3,4,374,186120,189971,0,0,0
59,29,1,576,128,8,2,3,4,374,187656,191603,0,0,0
60,30,0,576,128,8,2,3,4,371,189960,193907,0,0,0
61,30,1,576,128,8,2,3,4,371,191592,195523,0,0,0
62,31,0,576,128,8,2,3,4,386,193896,197827,0,0,0
63,31,1,576,128,8,2,3,4,386,195512,199555,0,0,0
64,32,0,576,128,8,2,3,4,393,197816,201859,0,0,0
65,32,1,576,128,8,2,3,4,393,199544,203555,0,0,0
66,33,0,576,128,8,2,3,4,410,201848,205859,0,0,0
67,33,1,576,128,8,2,3,4,410,203544,207587,0,0,0
68,34,0,576,128,8,2,3,4,369,205848,209891,0,0,0
69,34,1,576,128,8,2,3,4,369,207576,211491,0,0,0
70,35,0,576,128,8,2,3,4,361,209880,213795,0,0,0
71,35,1,576,128,8,2,3,4,361,211480,215395,0,0,0
72,36,0,576,128,8,2,3,4,373,213784,217699,0,0,0
73,36,1,576,128,8,2,3,4,373,215384,219283,0,0,0
74,37,0,576,128,8,2,3,4,386,217688,221587,0,0,0
75,37,1,576,128,8,2,3,4,386,219272,223299,0,0,0
76,38,0,576,128,8,2,3,4,374,221576,225603,0,0,0
77,38,1,576,128,8,2,3,4,374,223288,227283,0,0,0
78,39,0,576,128,8,2,3,4,394,225592,229587,0,0,0
79,39,1,576,128,8,2,3,4,394,227272,231347,0,0,0
80,40,0,576,128,8,2,3,4,384,229576,233651,0,0,0
81,40,1,576,128,8,2,3,4,384,231336,235283,0,0,0
82,41,0,576,128,8,2,3,4,320,233640,237587,0,0,0
83,41,1,576,128,8,2,3,4,320,235272,239107,0,0,0
84,42,0,576,128,8,2,3,4,327,237576,241411,0,0,0
85,42,1,576,128,8,2,3,4,327,239096,242947,0,0,0
86,43,0,576,128,8,2,3,4,388,241400,245251,0,0,0
87,43,1,576,128,8,2,3,4,388,242936,246867,0,0,0
88,44,0,576,128,8,2,3,4,338,245240,249171,0,0,0
89,44,1,576,128,8,2,3,4,338,246856,250835,0,0,0
90,45,0,576,128,8,2,3,4,333,249160,253139,0,0,0
91,45,1,576,128,8,2,3,4,333,250824,254723,0,0,0
92,46,0,576,128,8,2,3,4,351,253128,257027,0,0,0
93,46,1,576,128,8,2,3,4,351,254712,258643,0,0,0
94,47,0,576,128,8,2,3,4,323,257016,260947,0,0,0
95,47,1,576,128,8,2,3,4,323,258632,262483,0,0,0
96,48,0,576,128,8,2,3,4,316,260936,264787,0,0,0
97,48,1,576,128,8,2,3,4,316,262472,266291,0,0,0
98,49,0,576,128,8,2,3,4,332,264776,268595,0,0,0
99,49,1,576,128,8,2,3,4,332,266280,270195,0,0,0
100,50,0,576,128,8,2,3,4,327,268584,272499,0,0,0
101,50,1,576,128,8,2,3,4,327,270184,273987,0,0,0
102,51,0,576,128,8,2,3,4,320,272488,276291,0,0,0
103,51,1,576,128,8,2,3,4,320,273976,277763,0,0,0
104,52,0,576,128,8,2,3,4,315,276280,280067,0,0,0
105,52,1,576,128,8,2,3,4,315,277752,281619,0,0,0
106,53,0,576,128,8,2,3,4,344,280056,283923,0,0,0
107,53,1,576,128,8,2,3,4,344,281608,285635,0,0,0
108,54,0,576,128,8,2,3,4,401,283912,287939,0,0,0
109,54,1,576,128,8,2,3,4,401,285624,289715,0,0,0
110,55,0,576,128,8,2,3,4,359,287928,292019,0,0,0
111,55,1,576,128,8,2,3,4,359,289704,293555,0,0,0
112,56,0,576,128,8,2,3,4,314,292008,295859,0,0,0
113,56,1,576,128,8,2,3,4,314,293544,297331,0,0,0
114,57,0,576,128,8,2,3,4,307,295848,299635,0,0,0
115,57,1,576,128,8,2,3,4,307,297320,300995,0,0,0
116,58,0,576,128,8,2,3,4,345,299624,303299,0,0,0
117,58,1,576,128,8,2,3,4,345,300984,304915,0,0,0
118,59,0,576,128,8,2,3,4,371,303288,307219,0,0,0
119,59,1,576,128,8,2,3,4,371,304904,308883,0,0,0
120,60,0,576,128,8,2,3,4,374,307208,311187,0,0,0
121,60,1,576,128,8,2,3,4,374,308872,312787,0,0,0
122,61,0,576,128,8,2,3,4,335,311176,315091,0,0,0
123,61,1,576,128,8,2,3,4,335,312776,316675,0,0,0
124,62,0,576,128,8,2,3,4,334,315080,318979,0,0,0
125,62,1,576,128,8,2,3,4,334,316664,320515,0,0,0
126,63,0,576,128,8,2,3,4,364,318968,322819,0,0,0
127,63,1,576,128,8,2,3,4,364,320504,324451,0,0,0
128,64,0,576,128,8,2,3,4,235,322808,326755,0,0,0
129,64,1,576,128,8,2,3,4,235,324440,327955,0,0,0
130,65,0,576,128,8,2,3,4,220,326744,330259,0,0,0
131,65,1,576,128,8,2,3,4,220,327944,331315,0,0,0
132,66,0,576,128,8,2,3,4,262,330248,333619,0,0,0
133,66,1,576,128,8,2,3,4,262,331304,334931,0,0,0
134,67,0,576,128,8,2,3,4,219,333608,337235,0,0,0
135,67,1,576,128,8,2,3,4,219,334920,338483,0,0,0
136,68,0,576,128,8,2,3,4,245,337224,340787,0,0,0
137,68,1,576,128,8,2,3,4,245,338472,341955,0,0,0
138,69,0,576,128,8,2,3,4,324,340776,344259,0,0,0
139,69,1,576,128,8,2,3,4,324,341944,345699,0,0,0
140,70,0,576,128,8,2,3,4,254,344248,348003,0,0,0
141,70,1,576,128,8,2,3,4,254,345688,349299,0,0,0
142,71,0,576,128,8,2,3,4,247,347992,351603,0,0,0
143,71,1,576,128,8,2,3,4,247,349288,352755,0,0,0
144,72,0,576,128,8,2,3,4,255,351592,355059,0,0,0
145,72,1,576,128,8,2,3,4,255,352744,356403,0,0,0
146,73,0,576,128,8,2,3,4,297,355048,358707,0,0,0
147,73,1,576,128,8,2,3,4,297,356392,360131,0,0,0
148,74,0,576,128,8,2,3,4,333,358696,362435,0,0,0
149,74,1,576,128,8,2,3,4,333,360120,364019,0,0,0
150,75,0,576,128,8,2,3,4,235,362424,366323,0,0,0
151,75,1,576,128,8,2,3,4,235,364008,367491,0,0,0
