window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,3,3,4,0,259,313,4,0,0
1,0,1,27,9,4,3,3,4,0,287,332,4,0,0
2,1,0,27,9,4,3,3,4,27,315,368,4,0,0
3,1,1,27,9,4,3,3,4,27,343,396,4,0,0
4,2,0,27,9,4,3,3,4,1,371,425,4,0,0
5,2,1,27,9,4,3,3,4,1,399,444,4,0,0
6,3,0,27,9,4,3,3,4,2,427,480,4,0,0
7,3,1,27,9,4,3,3,4,2,455,497,4,0,0
8,4,0,27,9,4,3,3,4,3,483,537,4,0,0
9,4,1,27,9,4,3,3,4,3,511,556,4,0,0
10,5,0,27,9,4,3,3,4,4,539,592,4,0,0
11,5,1,27,9,4,3,3,4,4,567,609,4,0,0
12,6,0,27,9,4,3,3,4,5,595,649,4,0,0
13,6,1,27,9,4,3,3,4,5,623,669,4,0,0
14,7,0,27,9,4,3,3,4,6,651,704,4,0,0
15,7,1,27,9,4,3,3,4,6,679,722,4,0,0
16,8,0,27,9,4,3,3,4,7,707,761,4,0,0
17,8,1,27,9,4,3,3,4,7,735,782,4,0,0
18,9,0,27,9,4,3,3,4,8,763,816,4,0,0
19,9,1,27,9,4,3,3,4,8,791,834,4,0,0
20,10,0,27,9,4,3,3,4,9,819,873,4,0,0
21,10,1,27,9,4,3,3,4,9,847,894,4,0,0
22,11,0,27,9,4,3,3,4,10,875,928,4,0,0
23,11,1,27,9,4,3,3,4,10,903,946,4,0,0
24,12,0,27,9,4,3,3,4,11,931,985,4,0,0
25,12,1,27,9,4,3,3,4,11,959,1007,4,0,0
26,13,0,27,9,4,3,3,4,12,987,1040,4,0,0
27,13,1,27,9,4,3,3,4,12,1015,1058,4,0,0
28,14,0,27,9,4,3,3,4,13,1043,1097,4,0,0
29,14,1,27,9,4,3,3,4,13,1071,1120,4,0,0
30,15,0,27,9,4,3,3,4,14,1099,1152,4,0,0
31,15,1,27,9,4,3,3,4,14,1127,1171,4,0,0
32,16,0,27,9,4,3,3,4,15,1155,1209,4,0,0
33,16,1,27,9,4,3,3,4,15,1183,1233,4,0,0
34,17,0,27,9,4,3,3,4,16,1211,1264,4,0,0
35,17,1,27,9,4,3,3,4,16,1239,1283,4,0,0
36,18,0,27,9,4,3,3,4,17,1267,1321,4,0,0
37,18,1,27,9,4,3,3,4,17,1295,1344,4,0,0
38,19,0,27,9,4,3,3,4,18,1323,1376,4,0,0
39,19,1,27,9,4,3,3,4,18,1351,1403,4,0,0
40,20,0,27,9,4,3,3,4,19,1379,1433,4,0,0
41,20,1,27,9,4,3,3,4,19,1407,1457,4,0,0
42,21,0,27,9,4,3,3,4,20,1435,1488,4,0,0
43,21,1,27,9,4,3,3,4,20,1463,1516,4,0,0
44,22,0,27,9,4,3,3,4,21,1491,1545,4,0,0
45,22,1,27,9,4,3,3,4,21,1519,1576,4,0,0
46,23,0,27,9,4,3,3,4,22,1547,1600,4,0,0
47,23,1,27,9,4,3,3,4,22,1575,1627,4,0,0
48,24,0,27,9,4,3,3,4,23,1603,1657,4,0,0
49,24,1,27,9,4,3,3,4,23,1631,1688,4,0,0
50,25,0,27,9,4,3,3,4,24,1659,1712,4,0,0
51,25,1,27,9,4,3,3,4,24,1687,1740,4,0,0
52,26,0,27,9,4,3,3,4,25,1715,1769,4,0,0
53,26,1,27,9,4,3,3,4,25,1743,1800,4,0,0
54,27,0,27,9,4,3,3,4,26,1771,1824,4,0,0
55,27,1,27,9,4,3,3,4,26,1799,1852,4,0,0
56,28,0,27,9,4,3,3,4,27,1827,1881,4,0,0
57,28,1,27,9,4,3,3,4,27,1855,1912,4,0,0
58,29,0,27,9,4,3,3,4,27,1883,1936,4,0,0
59,29,1,27,9,4,3,3,4,27,1911,1964,4,0,0
60,30,0,27,9,4,3,3,4,13,1939,1993,4,0,0
61,30,1,27,9,4,3,3,4,13,1967,2024,4,0,0
62,31,0,27,9,4,3,3,4,0,1995,2048,4,0,0
63,31,1,27,9,4,3,3,4,0,2023,2064,4,0,0
