window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,1,2,3,2,0,97,190,12,0,0
1,0,1,9,9,1,2,3,2,0,107,255,12,0,0
2,1,0,9,9,1,2,3,2,9,179,334,12,0,0
3,1,1,9,9,1,2,3,2,9,240,399,12,0,0
4,2,0,9,9,1,2,3,2,1,323,478,12,0,0
5,2,1,9,9,1,2,3,2,1,392,543,12,0,0
6,3,0,9,9,1,2,3,2,2,467,622,12,0,0
7,3,1,9,9,1,2,3,2,2,528,687,12,0,0
8,4,0,9,9,1,2,3,2,3,611,766,12,0,0
9,4,1,9,9,1,2,3,2,3,672,831,12,0,0
10,5,0,9,9,1,2,3,2,4,755,910,12,0,0
11,5,1,9,9,1,2,3,2,4,818,975,12,0,0
12,6,0,9,9,1,2,3,2,5,899,1054,12,0,0
13,6,1,9,9,1,2,3,2,5,964,1119,12,0,0
14,7,0,9,9,1,2,3,2,6,1043,1198,12,0,0
15,7,1,9,9,1,2,3,2,6,1110,1263,12,0,0
16,8,0,9,9,1,2,3,2,7,1187,1342,12,0,0
17,8,1,9,9,1,2,3,2,7,1252,1407,12,0,0
18,9,0,9,9,1,2,3,2,8,1331,1486,12,0,0
19,9,1,9,9,1,2,3,2,8,1398,1551,12,0,0
20,10,0,9,9,1,2,3,2,9,1475,1630,12,0,0
21,10,1,9,9,1,2,3,2,9,1542,1695,12,0,0
22,11,0,9,9,1,2,3,2,9,1619,1774,12,0,0
23,11,1,9,9,1,2,3,2,9,1688,1839,12,0,0
24,12,0,9,9,1,2,3,2,4,1763,1918,12,0,0
25,12,1,9,9,1,2,3,2,4,1832,1983,12,0,0
26,13,0,9,9,1,2,3,2,0,1907,2062,12,0,0
27,13,1,9,9,1,2,3,2,0,1974,2127,12,0,0
